Portfolio Name,Branch Name,Branch Code,Entity Code,Entity Name,Portfolio Code,Folder Code,Folder Name,Folder Recieving,Folder Paying,Counterparty Recieving,Counterparty Paying,Loan Instr,Deposit Instr,Ccy Recieving,Ccy Paying,Begin Date,Maturity Date,Notional Amount,Recieving Rate,Paying Rate,Recieving Frequency,Paying Frequency,Market Value (USD)
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP7,FolderSwap7,Fold_SWAP7,Fold_SWAP4,Dubai Power,Maruti,IRS,IRS,AED,AED,08/11/16,11/09/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP7,FolderSwap7,Fold_SWAP7,Fold_SWAP4,Tata Consultancy Services ,Deutsche Bank,IRS,IRS,AED,AED,08/14/16,11/12/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6,Fold_SWAP6,Fold_SWAP5,General Electric,Saudi Arabia Petroliam,IRS,IRS,EUR,EUR,08/02/16,10/31/16,30000000,3.25,EU3M,Monthly,Monthly,31500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6,Fold_SWAP6,Fold_SWAP5,Danfoss,Bank Central Asia,IRS,IRS,AED,AED,08/04/16,11/02/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6,Fold_SWAP6,Fold_SWAP5,Danfoss,General Electric,IRS,IRS,AED,AED,08/09/16,11/07/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP6,FolderSwap6,Fold_SWAP6,Fold_SWAP5,Tata Consultancy Services,Danfoss,IRS,IRS,AED,AED,08/12/16,11/10/16,15000000,3.75,AED-3M,Quaterly,Quaterly,15750000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5,Fold_SWAP5,Fold_SWAP6,Citi Bank,Dubai Power,IRS,IRS,EUR,EUR,08/02/16,01/29/17,25000000,4.25,EU6M,Half-Yearly,Half-Yearly,26250000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5,Fold_SWAP5,Fold_SWAP6,Hitachi,Saudi Arabia Petroliam,IRS,IRS,AED,AED,08/04/16,11/02/16,85000000,3.75,AED-3M,Quaterly,Quaterly,89250000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5,Fold_SWAP5,Fold_SWAP6,National Commercial Bank,Citi Bank,IRS,IRS,AED,AED,08/09/16,11/07/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP5,FolderSwap5,Fold_SWAP5,Fold_SWAP6,Softzen,First Bank of Gulf,IRS,IRS,AED,AED,08/12/16,11/10/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7,Reliance,Danfoss,IRS,IRS,EUR,EUR,08/02/16,10/31/16,90000000,5.75,EU3M,Monthly,Monthly,94500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7,Semex,Tata Consultancy Services,IRS,IRS,AED,AED,08/04/16,11/02/16,85000000,3.75,AED-3M,Quaterly,Quaterly,89250000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7, Harrods Group,Reliance,IRS,IRS,AED,AED,08/09/16,11/07/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP4,FolderSwap4,Fold_SWAP4,Fold_SWAP7,Maruti,Semex,IRS,IRS,AED,AED,08/12/16,11/10/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,J.P. Morgan Chase,Saudi Arabia Petroliam,IRS,IRS,USD,USD,08/02/16,01/29/17,10000000,6.5,USD6M,Half-Yearly,Half-Yearly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,Loma Negra,Softzen,IRS,IRS,AED,AED,08/04/16,11/02/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,Virgin Trains,J.P. Morgan Chase,IRS,IRS,AED,AED,08/09/16,11/07/16,15000000,3.75,AED-3M,Quaterly,Quaterly,15750000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP3,FolderSwap3,Fold_SWAP3,Fold_SWAP8,Government of Japan,Loma Negra,IRS,IRS,AED,AED,08/12/16,11/10/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Reliance, Harrods Group,IRS,IRS,USD,USD,08/02/16,10/31/16,40000000,5.6,USD3M,Quaterly,Quaterly,42000000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Fairchild Group,Maruti,IRS,IRS,AED,AED,08/04/16,11/02/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Vita,Reliance,IRS,IRS,AED,AED,08/09/16,11/07/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP2,FolderSwap2,Fold_SWAP2,Fold_SWAP9,Hitachi,Fairchild Group,IRS,IRS,AED,AED,08/12/16,11/10/16,15000000,3.75,AED-3M,Quaterly,Quaterly,15750000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP10,FolderSwap10,Fold_SWAP10,Fold_SWAP1,Addittion Elle,Hitachi,IRS,IRS,AED,AED,08/04/16,01/31/17,85000000,5.25,AED-6M,Half-Yearly,Half-Yearly,89250000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP10,FolderSwap10,Fold_SWAP10,Fold_SWAP1,Addittion Elle,Dubai Power,IRS,IRS,AED,AED,08/07/16,11/05/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives8,Brazil,BRA,SAMR,SOUTH AMERICA,Port_IRS2,Fold_SWAP10,FolderSwap10,Fold_SWAP10,Fold_SWAP1,National Commercial Bank,Addittion Elle,IRS,IRS,AED,AED,08/11/16,11/09/16,20000000,3.75,AED-3M,Quaterly,Quaterly,21000000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1,Fold_SWAP1,Fold_SWAP10,Default_Cpty,Virgin Trains,IRS,IRS,USD,USD,08/02/16,01/29/17,60000000,4.5,USD6M,Half-Yearly,Half-Yearly,63000000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1,Fold_SWAP1,Fold_SWAP10,Bank of Monteral,Government of Japan,IRS,IRS,AED,AED,08/04/16,11/02/16,15000000,6.24,AED-3M,Quaterly,Quaterly,15750000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1,Fold_SWAP1,Fold_SWAP10,Loma Negra,Default_Cpty,IRS,IRS,AED,AED,08/07/16,11/05/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
Derivatives7,Canada,CAN,NAMR,NORTH AMERICA,Port_IRS1,Fold_SWAP1,FolderSwap1,Fold_SWAP1,Fold_SWAP10,Saudi Arabia Petroliam,Bank of Monteral,IRS,IRS,AED,AED,08/11/16,11/09/16,10000000,3.75,AED-3M,Quaterly,Quaterly,10500000
